"Country","Code","Year","Production (tonnes)","Yield (tonnes/hectare)","prediction"
"Papua New Guinea","PNG",2012,38700,0.4063,"Normal"
"Papua New Guinea","PNG",2013,41200,0.4058,"Normal"
"Papua New Guinea","PNG",2014,45368.79,0.40870002,"Normal"
"Papua New Guinea","PNG",2015,36100,0.319,"Normal"
"Papua New Guinea","PNG",2016,38000,0.40960002,"Normal"
"Papua New Guinea","PNG",2017,36900,0.40520003,"Normal"
"Papua New Guinea","PNG",2018,33300,0.3986,"Normal"
"Papua New Guinea","PNG",2019,35700,0.39710003,"Normal"
"Papua New Guinea","PNG",2020,40900,0.39870003,"Normal"
"Papua New Guinea","PNG",2021,41900,0.39810002,"Normal"
"Papua New Guinea","PNG",2022,42000,0.39740002,"Normal"
"Papua New Guinea","PNG",2023,43200,0.39670002,"Normal"
"Peru","PER",1961,2688,0.48000002,"Normal"
"Peru","PER",1962,2464,0.448,"Normal"
"Peru","PER",1963,2670,0.48020002,"Normal"
"Peru","PER",1964,2674,0.5618,"Normal"
"Peru","PER",1965,1836,0.3849,"Normal"
"Peru","PER",1966,2149,0.48850003,"Normal"
"Peru","PER",1967,2301,0.523,"Normal"
"Peru","PER",1968,1795,0.48950002,"Normal"
"Peru","PER",1969,2412,0.5701,"Normal"
"Peru","PER",1970,2107,0.49560001,"Normal"
"Peru","PER",1971,2173,0.50490004,"Normal"
"Peru","PER",1972,2231,0.50920004,"Normal"
"Peru","PER",1973,2406,0.51140004,"Normal"
"Peru","PER",1974,2545,0.51060003,"Normal"
"Peru","PER",1975,2658,0.5091,"Normal"
"Peru","PER",1976,2607,0.5052,"Normal"
"Peru","PER",1977,3998,0.51220006,"Normal"
"Peru","PER",1978,4039,0.49580002,"Normal"
"Peru","PER",1979,4262,0.49950004,"Normal"
"Peru","PER",1980,4420,0.51290005,"Normal"
"Peru","PER",1981,5312,0.5288,"Normal"
"Peru","PER",1982,6045,0.57530004,"Normal"
"Peru","PER",1983,6145,0.522,"Normal"
"Peru","PER",1984,6501,0.48540002,"Normal"
"Peru","PER",1985,8033,0.45170003,"Normal"
"Peru","PER",1986,11082,0.48740003,"Normal"
"Peru","PER",1987,14080,0.47660002,"Normal"
"Peru","PER",1988,16658,0.5133,"Normal"
"Peru","PER",1989,17813,0.5422,"Normal"
"Peru","PER",1990,14796,0.4771,"Normal"
"Peru","PER",1991,15473,0.537,"Normal"
"Peru","PER",1992,15000,0.5357,"Normal"
"Peru","PER",1993,14970,0.5301,"Normal"
"Peru","PER",1994,13446,0.5684,"Normal"
"Peru","PER",1995,22704,0.625,"Normal"
"Peru","PER",1996,22867,0.7102001,"Normal"
